image_name,lat,lon,date,spectrum
35.7801_-105.5149_20220511_Infrared.png,35.7801,-105.5149,2022-05-11,Infrared
35.84_-105.4783_20220512_RGB.png,35.84,-105.4783,2022-05-12,RGB
36.0405_-105.4934_20220512_Infrared.png,36.0405,-105.4934,2022-05-12,Infrared
36.0621_-105.4723_20220512_Infrared.png,36.0621,-105.4723,2022-05-12,Infrared
36.0606_-105.4845_20220512_RGB.png,36.0606,-105.4845,2022-05-12,RGB
35.9085_-105.4681_20220512_Infrared.png,35.9085,-105.4681,2022-05-12,Infrared
36.0087_-105.3175_20220512_Infrared.png,36.0087,-105.3175,2022-05-12,Infrared
36.0885_-105.2408_20220512_Infrared.png,36.0885,-105.2408,2022-05-12,Infrared
36.0983_-105.2426_20220512_Infrared.png,36.0983,-105.2426,2022-05-12,Infrared
36.1398_-105.4236_20220512_RGB.png,36.1398,-105.4236,2022-05-12,RGB
36.0415_-105.5184_20220513_RGB.png,36.0415,-105.5184,2022-05-13,RGB
36.05_-105.4848_20220513_RGB.png,36.05,-105.4848,2022-05-13,RGB
36.0005_-105.3053_20220513_RGB.png,36.0005,-105.3053,2022-05-13,RGB
35.8992_-105.4677_20220513_RGB.png,35.8992,-105.4677,2022-05-13,RGB
35.9003_-105.495_20220513_RGB.png,35.9003,-105.495,2022-05-13,RGB
35.9055_-105.4922_20220513_Infrared.png,35.9055,-105.4922,2022-05-13,Infrared
35.7295_-105.5318_20220513_Infrared.png,35.7295,-105.5318,2022-05-13,Infrared
35.7582_-105.5544_20220513_RGB.png,35.7582,-105.5544,2022-05-13,RGB
35.7274_-105.5374_20220513_Infrared.png,35.7274,-105.5374,2022-05-13,Infrared
35.5614_-105.4814_20220513_RGB.png,35.5614,-105.4814,2022-05-13,RGB
35.5504_-105.4719_20220513_RGB.png,35.5504,-105.4719,2022-05-13,RGB
36.0625_-105.4915_20220513_Infrared.png,36.0625,-105.4915,2022-05-13,Infrared
36.0606_-105.48_20220513_Infrared.png,36.0606,-105.48,2022-05-13,Infrared
36.0516_-105.4821_20220513_RGB.png,36.0516,-105.4821,2022-05-13,RGB
36.0445_-105.496_20220513_Infrared.png,36.0445,-105.496,2022-05-13,Infrared
35.9_-105.4586_20220513_Infrared.png,35.9,-105.4586,2022-05-13,Infrared
35.8838_-105.4747_20220513_RGB.png,35.8838,-105.4747,2022-05-13,RGB
35.8657_-105.4789_20220513_Infrared.png,35.8657,-105.4789,2022-05-13,Infrared
35.7183_-105.5674_20220513_Infrared.png,35.7183,-105.5674,2022-05-13,Infrared
35.8959_-105.4886_20220513_RGB.png,35.8959,-105.4886,2022-05-13,RGB
35.8928_-105.4939_20220513_Infrared.png,35.8928,-105.4939,2022-05-13,Infrared
37.8229_-77.9859_20220514_Infrared.png,37.8229,-77.9859,2022-05-14,Infrared
33.8144_-107.4876_20220514_RGB.png,33.8144,-107.4876,2022-05-14,RGB
33.82_-107.4644_20220514_Infrared.png,33.82,-107.4644,2022-05-14,Infrared
33.8376_-107.5202_20220514_RGB.png,33.8376,-107.5202,2022-05-14,RGB
33.8099_-107.4832_20220514_RGB.png,33.8099,-107.4832,2022-05-14,RGB
33.8123_-107.5066_20220514_Infrared.png,33.8123,-107.5066,2022-05-14,Infrared
33.7977_-107.4776_20220514_Infrared.png,33.7977,-107.4776,2022-05-14,Infrared
33.807_-107.488_20220515_RGB.png,33.807,-107.488,2022-05-15,RGB
33.8288_-107.5343_20220515_Infrared.png,33.8288,-107.5343,2022-05-15,Infrared
33.8148_-107.4797_20220515_RGB.png,33.8148,-107.4797,2022-05-15,RGB
33.2024_-108.0161_20220515_RGB.png,33.2024,-108.0161,2022-05-15,RGB
