date,latitude,longitude,precipitation,wind_speed,wind_direction,Identifier
20220125,19.4046,-155.2946,0.08,5.11,48.7,19.4046_-155.2946_20220125
20220126,19.4046,-155.2946,0.01,4.14,67.1,19.4046_-155.2946_20220126
20220127,19.4046,-155.2946,0.04,2.92,104.3,19.4046_-155.2946_20220127
20220423,35.8256,-105.2824,0.0,7.64,282.3,35.8256_-105.2824_20220423
20220424,35.8256,-105.2824,0.25,3.26,179.7,35.8256_-105.2824_20220424
20220425,35.8256,-105.2824,1.43,3.43,183.3,35.8256_-105.2824_20220425
20220609,61.5364,-155.8072,0.29,2.47,7.5,61.5364_-155.8072_20220609
20220610,61.5364,-155.8072,0.05,2.2,359.5,61.5364_-155.8072_20220610
20220611,61.5364,-155.8072,0.96,1.57,194.7,61.5364_-155.8072_20220611
20220628,46.135,-118.5963,0.0,6.4,242.8,46.135_-118.5963_20220628
20220629,46.135,-118.5963,0.0,3.28,244.9,46.135_-118.5963_20220629
20220630,46.135,-118.5963,0.0,2.02,249.2,46.135_-118.5963_20220630
20220430,35.7131,-106.506,0.04,3.3,297.2,35.7131_-106.506_20220430
20220501,35.7131,-106.506,0.01,5.74,214.4,35.7131_-106.506_20220501
20220502,35.7131,-106.506,0.07,4.88,287.2,35.7131_-106.506_20220502
20220702,65.7689,-143.089,1.14,1.22,142.8,65.7689_-143.089_20220702
20220703,65.7689,-143.089,0.55,0.86,158.2,65.7689_-143.089_20220703
20220704,65.7689,-143.089,1.93,0.96,250.2,65.7689_-143.089_20220704
20220612,59.9276,-156.2581,0.65,4.24,201.8,59.9276_-156.2581_20220612
20220613,59.9276,-156.2581,5.55,2.54,174.0,59.9276_-156.2581_20220613
20220614,59.9276,-156.2581,1.05,1.86,107.7,59.9276_-156.2581_20220614
20220512,36.0885,-105.2408,0.06,5.37,268.9,36.0885_-105.2408_20220512
20220513,36.0885,-105.2408,0.0,3.68,279.7,36.0885_-105.2408_20220513
20220514,36.0885,-105.2408,0.06,2.88,289.5,36.0885_-105.2408_20220514
20220710,64.1545,-155.8791,0.12,1.67,325.4,64.1545_-155.8791_20220710
20220711,64.1545,-155.8791,0.02,1.76,324.8,64.1545_-155.8791_20220711
20220712,64.1545,-155.8791,0.67,1.55,340.1,64.1545_-155.8791_20220712
20220610,61.2041,-159.2967,0.04,3.73,352.3,61.2041_-159.2967_20220610
20220611,61.2041,-159.2967,0.01,2.93,292.9,61.2041_-159.2967_20220611
20220612,61.2041,-159.2967,6.55,2.82,229.1,61.2041_-159.2967_20220612
20220518,33.8855,-99.3221,0.01,3.59,201.3,33.8855_-99.3221_20220518
20220519,33.8855,-99.3221,0.0,4.96,195.3,33.8855_-99.3221_20220519
20220520,33.8855,-99.3221,0.0,6.98,300.6,33.8855_-99.3221_20220520
20220724,37.5596,-119.8327,0.0,2.04,263.8,37.5596_-119.8327_20220724
20220725,37.5596,-119.8327,0.02,1.98,247.6,37.5596_-119.8327_20220725
20220726,37.5596,-119.8327,0.1,1.88,269.0,37.5596_-119.8327_20220726
20220723,37.5234,-119.849,0.0,1.88,269.1,37.5234_-119.849_20220723
20220724,37.5234,-119.849,0.0,2.04,263.8,37.5234_-119.849_20220724
20220725,37.5234,-119.849,0.02,1.98,247.6,37.5234_-119.849_20220725
20220609,63.2725,-154.7436,0.0,2.4,24.3,63.2725_-154.7436_20220609
20220610,63.2725,-154.7436,0.21,1.69,357.1,63.2725_-154.7436_20220610
20220611,63.2725,-154.7436,0.02,1.52,288.5,63.2725_-154.7436_20220611
20220609,61.4132,-155.0618,0.44,2.08,18.5,61.4132_-155.0618_20220609
20220610,61.4132,-155.0618,0.11,2.06,10.0,61.4132_-155.0618_20220610
20220611,61.4132,-155.0618,1.75,2.28,182.8,61.4132_-155.0618_20220611
20220507,35.6954,-106.5021,0.0,5.23,281.4,35.6954_-106.5021_20220507
20220508,35.6954,-106.5021,0.0,7.2,250.2,35.6954_-106.5021_20220508
20220509,35.6954,-106.5021,0.0,6.82,257.5,35.6954_-106.5021_20220509
20220616,35.4019,-111.5074,0.0,3.88,220.8,35.4019_-111.5074_20220616
20220617,35.4019,-111.5074,0.0,6.42,206.7,35.4019_-111.5074_20220617
20220618,35.4019,-111.5074,0.38,6.91,199.3,35.4019_-111.5074_20220618
20220621,37.5018,-112.3601,0.0,4.03,120.0,37.5018_-112.3601_20220621
20220622,37.5018,-112.3601,0.4,1.83,5.2,37.5018_-112.3601_20220622
20220623,37.5018,-112.3601,0.6,3.4,222.5,37.5018_-112.3601_20220623
20220614,33.642,-109.3904,0.0,4.13,256.6,33.642_-109.3904_20220614
20220615,33.642,-109.3904,0.0,2.98,250.3,33.642_-109.3904_20220615
20220616,33.642,-109.3904,0.01,3.22,175.7,33.642_-109.3904_20220616
20220612,59.9736,-156.0103,0.65,4.24,201.8,59.9736_-156.0103_20220612
20220613,59.9736,-156.0103,5.55,2.54,174.0,59.9736_-156.0103_20220613
20220614,59.9736,-156.0103,1.05,1.86,107.7,59.9736_-156.0103_20220614
20220430,35.7263,-106.5057,0.04,3.3,297.2,35.7263_-106.5057_20220430
20220501,35.7263,-106.5057,0.01,5.74,214.4,35.7263_-106.5057_20220501
20220502,35.7263,-106.5057,0.07,4.88,287.2,35.7263_-106.5057_20220502
20220502,35.6367,-105.2976,0.0,5.96,278.7,35.6367_-105.2976_20220502
20220503,35.6367,-105.2976,0.02,5.52,188.9,35.6367_-105.2976_20220503
20220504,35.6367,-105.2976,0.04,6.25,284.6,35.6367_-105.2976_20220504
20220511,36.0428,-105.479,0.18,4.77,205.7,36.0428_-105.479_20220511
20220512,36.0428,-105.479,0.1,4.96,273.6,36.0428_-105.479_20220512
20220513,36.0428,-105.479,0.12,3.5,287.8,36.0428_-105.479_20220513
20220629,66.0569,-142.7149,0.0,1.49,257.4,66.0569_-142.7149_20220629
20220630,66.0569,-142.7149,0.0,1.01,188.6,66.0569_-142.7149_20220630
20220701,66.0569,-142.7149,0.0,1.38,111.2,66.0569_-142.7149_20220701
20220503,30.4378,-85.5642,0.18,2.96,197.2,30.4378_-85.5642_20220503
20220504,30.4378,-85.5642,0.52,1.95,231.4,30.4378_-85.5642_20220504
20220505,30.4378,-85.5642,0.38,2.83,218.4,30.4378_-85.5642_20220505
20220608,62.1943,-163.0139,0.0,4.3,37.8,62.1943_-163.0139_20220608
20220609,62.1943,-163.0139,0.06,3.32,42.8,62.1943_-163.0139_20220609
20220610,62.1943,-163.0139,0.0,5.79,2.3,62.1943_-163.0139_20220610
20220528,33.4213,-110.8571,0.0,5.03,234.7,33.4213_-110.8571_20220528
20220529,33.4213,-110.8571,0.0,5.92,240.8,33.4213_-110.8571_20220529
20220530,33.4213,-110.8571,0.0,4.68,243.2,33.4213_-110.8571_20220530
20220723,37.5269,-119.8877,0.0,1.88,269.1,37.5269_-119.8877_20220723
20220724,37.5269,-119.8877,0.0,2.04,263.8,37.5269_-119.8877_20220724
20220725,37.5269,-119.8877,0.02,1.98,247.6,37.5269_-119.8877_20220725
20220515,33.2024,-108.0161,0.0,2.89,233.3,33.2024_-108.0161_20220515
20220516,33.2024,-108.0161,0.0,3.3,256.3,33.2024_-108.0161_20220516
20220517,33.2024,-108.0161,0.0,3.72,264.7,33.2024_-108.0161_20220517
20220710,64.0764,-153.8331,0.17,1.92,318.2,64.0764_-153.8331_20220710
20220711,64.0764,-153.8331,0.01,2.06,319.0,64.0764_-153.8331_20220711
20220712,64.0764,-153.8331,0.17,1.6,330.7,64.0764_-153.8331_20220712
20220331,27.339,-97.9585,0.0,3.66,78.3,27.339_-97.9585_20220331
20220401,27.339,-97.9585,0.0,4.87,108.7,27.339_-97.9585_20220401
20220402,27.339,-97.9585,0.0,3.59,72.2,27.339_-97.9585_20220402
20220608,62.2758,-162.9119,0.0,4.12,32.1,62.2758_-162.9119_20220608
20220609,62.2758,-162.9119,0.03,3.41,34.4,62.2758_-162.9119_20220609
20220610,62.2758,-162.9119,0.0,5.91,7.3,62.2758_-162.9119_20220610
20220512,36.0405,-105.4934,0.1,4.96,273.6,36.0405_-105.4934_20220512
20220513,36.0405,-105.4934,0.12,3.5,287.8,36.0405_-105.4934_20220513
20220514,36.0405,-105.4934,0.09,3.09,296.2,36.0405_-105.4934_20220514
20220519,33.2954,-107.9231,0.0,5.2,263.1,33.2954_-107.9231_20220519
20220520,33.2954,-107.9231,0.04,8.65,249.8,33.2954_-107.9231_20220520
20220521,33.2954,-107.9231,0.0,5.16,243.7,33.2954_-107.9231_20220521
20220702,65.7583,-143.0564,1.14,1.22,142.8,65.7583_-143.0564_20220702
20220703,65.7583,-143.0564,0.55,0.86,158.2,65.7583_-143.0564_20220703
20220704,65.7583,-143.0564,1.93,0.96,250.2,65.7583_-143.0564_20220704
20220613,35.3885,-111.4062,0.0,9.5,226.8,35.3885_-111.4062_20220613
20220614,35.3885,-111.4062,0.0,4.51,255.6,35.3885_-111.4062_20220614
20220615,35.3885,-111.4062,0.0,1.59,4.4,35.3885_-111.4062_20220615
20220624,61.4937,-154.7856,0.03,1.35,194.2,61.4937_-154.7856_20220624
20220625,61.4937,-154.7856,0.0,2.33,163.7,61.4937_-154.7856_20220625
20220626,61.4937,-154.7856,0.84,2.23,167.3,61.4937_-154.7856_20220626
20220609,31.5959,-108.9956,0.29,2.35,222.3,31.5959_-108.9956_20220609
20220610,31.5959,-108.9956,0.13,3.18,308.4,31.5959_-108.9956_20220610
20220611,31.5959,-108.9956,0.01,4.74,277.6,31.5959_-108.9956_20220611
20220615,35.8968,-105.5225,0.24,2.93,268.7,35.8968_-105.5225_20220615
20220616,35.8968,-105.5225,2.89,3.11,164.3,35.8968_-105.5225_20220616
20220617,35.8968,-105.5225,2.68,3.6,169.8,35.8968_-105.5225_20220617
20220511,36.1287,-105.3956,0.18,4.77,205.7,36.1287_-105.3956_20220511
20220512,36.1287,-105.3956,0.1,4.96,273.6,36.1287_-105.3956_20220512
20220513,36.1287,-105.3956,0.12,3.5,287.8,36.1287_-105.3956_20220513
20220426,35.7657,-106.5008,0.0,4.07,195.8,35.7657_-106.5008_20220426
20220427,35.7657,-106.5008,0.09,4.36,232.1,35.7657_-106.5008_20220427
20220428,35.7657,-106.5008,0.0,3.4,257.1,35.7657_-106.5008_20220428
20220723,37.5581,-119.8701,0.0,1.88,269.1,37.5581_-119.8701_20220723
20220724,37.5581,-119.8701,0.0,2.04,263.8,37.5581_-119.8701_20220724
20220725,37.5581,-119.8701,0.02,1.98,247.6,37.5581_-119.8701_20220725
20220617,40.0738,-114.4054,0.04,10.19,197.9,40.0738_-114.4054_20220617
20220618,40.0738,-114.4054,0.0,6.93,210.6,40.0738_-114.4054_20220618
20220619,40.0738,-114.4054,0.5,4.03,316.5,40.0738_-114.4054_20220619
20220501,35.7357,-106.535,0.01,5.74,214.4,35.7357_-106.535_20220501
20220502,35.7357,-106.535,0.07,4.88,287.2,35.7357_-106.535_20220502
20220503,35.7357,-106.535,0.0,4.8,232.4,35.7357_-106.535_20220503
20220224,19.409,-155.2816,0.17,4.46,84.7,19.409_-155.2816_20220224
20220225,19.409,-155.2816,3.04,4.58,76.1,19.409_-155.2816_20220225
20220226,19.409,-155.2816,1.3,4.17,91.2,19.409_-155.2816_20220226
20220520,33.1923,-107.9865,0.26,6.59,257.1,33.1923_-107.9865_20220520
20220521,33.1923,-107.9865,0.0,4.33,256.2,33.1923_-107.9865_20220521
20220522,33.1923,-107.9865,0.0,3.57,158.3,33.1923_-107.9865_20220522
20220507,35.6271,-105.4527,0.0,6.91,276.0,35.6271_-105.4527_20220507
20220508,35.6271,-105.4527,0.0,9.23,255.4,35.6271_-105.4527_20220508
20220509,35.6271,-105.4527,0.0,9.08,260.9,35.6271_-105.4527_20220509
20220720,45.39,-114.1511,0.0,2.15,295.1,45.39_-114.1511_20220720
20220721,45.39,-114.1511,0.0,1.76,299.6,45.39_-114.1511_20220721
20220722,45.39,-114.1511,0.0,2.53,307.0,45.39_-114.1511_20220722
20220503,35.9337,-105.4462,0.35,4.34,222.8,35.9337_-105.4462_20220503
20220504,35.9337,-105.4462,0.03,4.4,281.8,35.9337_-105.4462_20220504
20220505,35.9337,-105.4462,0.05,4.06,298.5,35.9337_-105.4462_20220505
20220702,65.8485,-143.0613,1.14,1.22,142.8,65.8485_-143.0613_20220702
20220703,65.8485,-143.0613,0.55,0.86,158.2,65.8485_-143.0613_20220703
20220704,65.8485,-143.0613,1.93,0.96,250.2,65.8485_-143.0613_20220704
20220608,62.7186,-156.6418,0.07,2.85,37.7,62.7186_-156.6418_20220608
20220609,62.7186,-156.6418,0.0,3.15,25.1,62.7186_-156.6418_20220609
20220610,62.7186,-156.6418,0.14,2.25,0.3,62.7186_-156.6418_20220610
20220614,32.9623,-107.8238,0.33,4.29,269.3,32.9623_-107.8238_20220614
20220615,32.9623,-107.8238,0.0,2.93,258.4,32.9623_-107.8238_20220615
20220616,32.9623,-107.8238,0.02,2.91,138.1,32.9623_-107.8238_20220616
20220423,35.8155,-105.417,0.0,6.75,285.6,35.8155_-105.417_20220423
20220424,35.8155,-105.417,0.09,2.96,254.2,35.8155_-105.417_20220424
20220425,35.8155,-105.417,0.77,3.22,204.9,35.8155_-105.417_20220425
20220616,35.4174,-111.4578,0.0,3.88,220.8,35.4174_-111.4578_20220616
20220617,35.4174,-111.4578,0.0,6.42,206.7,35.4174_-111.4578_20220617
20220618,35.4174,-111.4578,0.38,6.91,199.3,35.4174_-111.4578_20220618
20220705,66.6414,-150.6909,0.44,2.28,280.7,66.6414_-150.6909_20220705
20220706,66.6414,-150.6909,1.79,1.61,79.2,66.6414_-150.6909_20220706
20220707,66.6414,-150.6909,13.44,1.13,351.9,66.6414_-150.6909_20220707
20220530,33.1059,-107.7451,0.0,5.67,250.9,33.1059_-107.7451_20220530
20220531,33.1059,-107.7451,0.0,4.36,245.5,33.1059_-107.7451_20220531
20220601,33.1059,-107.7451,0.0,3.57,256.0,33.1059_-107.7451_20220601
20220423,35.782,-105.3558,0.0,6.75,285.6,35.782_-105.3558_20220423
20220424,35.782,-105.3558,0.09,2.96,254.2,35.782_-105.3558_20220424
20220425,35.782,-105.3558,0.77,3.22,204.9,35.782_-105.3558_20220425
20220630,65.1116,-148.4593,0.0,1.13,65.4,65.1116_-148.4593_20220630
20220701,65.1116,-148.4593,0.0,1.45,231.8,65.1116_-148.4593_20220701
20220702,65.1116,-148.4593,0.81,0.86,231.7,65.1116_-148.4593_20220702
20220502,35.6097,-105.3725,0.01,6.57,281.9,35.6097_-105.3725_20220502
20220503,35.6097,-105.3725,0.03,5.24,213.7,35.6097_-105.3725_20220503
20220504,35.6097,-105.3725,0.05,6.12,291.9,35.6097_-105.3725_20220504
20220605,19.4142,-155.2849,0.19,4.29,93.1,19.4142_-155.2849_20220605
20220606,19.4142,-155.2849,0.04,4.26,96.1,19.4142_-155.2849_20220606
20220607,19.4142,-155.2849,0.03,4.55,92.2,19.4142_-155.2849_20220607
20220701,64.2895,-149.6544,0.12,1.6,253.5,64.2895_-149.6544_20220701
20220702,64.2895,-149.6544,0.58,1.25,258.0,64.2895_-149.6544_20220702
20220703,64.2895,-149.6544,0.43,1.04,260.5,64.2895_-149.6544_20220703
20220126,19.408,-155.2844,0.01,4.14,67.1,19.408_-155.2844_20220126
20220127,19.408,-155.2844,0.04,2.92,104.3,19.408_-155.2844_20220127
20220128,19.408,-155.2844,0.03,2.93,108.1,19.408_-155.2844_20220128
20220513,35.9055,-105.4922,0.12,3.5,287.8,35.9055_-105.4922_20220513
20220514,35.9055,-105.4922,0.09,3.09,296.2,35.9055_-105.4922_20220514
20220515,35.9055,-105.4922,0.14,2.64,309.4,35.9055_-105.4922_20220515
20220425,34.3564,-112.4606,0.0,3.61,62.6,34.3564_-112.4606_20220425
20220426,34.3564,-112.4606,0.0,3.84,174.6,34.3564_-112.4606_20220426
20220427,34.3564,-112.4606,0.0,4.36,208.4,34.3564_-112.4606_20220427
20220723,37.5103,-119.8797,0.0,1.88,269.1,37.5103_-119.8797_20220723
20220724,37.5103,-119.8797,0.0,2.04,263.8,37.5103_-119.8797_20220724
20220725,37.5103,-119.8797,0.02,1.98,247.6,37.5103_-119.8797_20220725
20220610,60.6668,-157.0026,0.0,4.71,356.5,60.6668_-157.0026_20220610
20220611,60.6668,-157.0026,0.09,3.14,218.2,60.6668_-157.0026_20220611
20220612,60.6668,-157.0026,1.7,3.35,196.4,60.6668_-157.0026_20220612
20220609,60.835,-157.2343,0.06,4.39,7.8,60.835_-157.2343_20220609
20220610,60.835,-157.2343,0.01,3.64,359.1,60.835_-157.2343_20220610
20220611,60.835,-157.2343,0.03,2.28,288.6,60.835_-157.2343_20220611
20220610,61.1782,-159.346,0.04,3.73,352.3,61.1782_-159.346_20220610
20220611,61.1782,-159.346,0.01,2.93,292.9,61.1782_-159.346_20220611
20220612,61.1782,-159.346,6.55,2.82,229.1,61.1782_-159.346_20220612
20220718,46.4389,-116.8958,0.0,3.94,265.5,46.4389_-116.8958_20220718
20220719,46.4389,-116.8958,0.0,2.32,100.1,46.4389_-116.8958_20220719
20220720,46.4389,-116.8958,0.0,2.81,257.3,46.4389_-116.8958_20220720
20220610,61.499,-157.981,0.04,3.57,359.2,61.499_-157.981_20220610
20220611,61.499,-157.981,0.01,2.83,299.5,61.499_-157.981_20220611
20220612,61.499,-157.981,3.1,2.3,220.3,61.499_-157.981_20220612
20220608,62.3195,-155.5591,0.06,2.34,37.3,62.3195_-155.5591_20220608
20220609,62.3195,-155.5591,0.02,2.64,22.9,62.3195_-155.5591_20220609
20220610,62.3195,-155.5591,0.16,1.7,13.0,62.3195_-155.5591_20220610
20220701,66.8862,-143.8822,0.0,1.32,132.2,66.8862_-143.8822_20220701
20220702,66.8862,-143.8822,0.2,1.6,94.8,66.8862_-143.8822_20220702
20220703,66.8862,-143.8822,1.44,1.27,143.2,66.8862_-143.8822_20220703
20220507,35.6308,-105.4891,0.0,6.91,276.0,35.6308_-105.4891_20220507
20220508,35.6308,-105.4891,0.0,9.23,255.4,35.6308_-105.4891_20220508
20220509,35.6308,-105.4891,0.0,9.08,260.9,35.6308_-105.4891_20220509
20220708,64.6628,-145.9597,0.26,0.9,186.5,64.6628_-145.9597_20220708
20220709,64.6628,-145.9597,2.49,1.05,124.6,64.6628_-145.9597_20220709
20220710,64.6628,-145.9597,2.17,1.07,31.8,64.6628_-145.9597_20220710
20220705,64.3658,-145.0843,0.58,0.61,288.8,64.3658_-145.0843_20220705
20220706,64.3658,-145.0843,0.64,0.95,151.5,64.3658_-145.0843_20220706
20220707,64.3658,-145.0843,2.89,1.36,224.8,64.3658_-145.0843_20220707
20220718,28.4489,-98.209,0.0,4.9,153.5,28.4489_-98.209_20220718
20220719,28.4489,-98.209,0.0,6.17,158.4,28.4489_-98.209_20220719
20220720,28.4489,-98.209,0.0,6.26,145.9,28.4489_-98.209_20220720
20220705,67.1854,-147.6736,0.21,2.52,272.3,67.1854_-147.6736_20220705
20220706,67.1854,-147.6736,2.73,1.71,59.2,67.1854_-147.6736_20220706
20220707,67.1854,-147.6736,4.09,1.78,16.4,67.1854_-147.6736_20220707
20220501,35.7372,-106.5329,0.01,5.74,214.4,35.7372_-106.5329_20220501
20220502,35.7372,-106.5329,0.07,4.88,287.2,35.7372_-106.5329_20220502
20220503,35.7372,-106.5329,0.0,4.8,232.4,35.7372_-106.5329_20220503
20220525,33.7331,-107.5307,0.01,5.05,318.0,33.7331_-107.5307_20220525
20220526,33.7331,-107.5307,0.0,3.47,324.5,33.7331_-107.5307_20220526
20220527,33.7331,-107.5307,0.0,4.5,253.3,33.7331_-107.5307_20220527
20220311,19.4149,-155.2666,0.12,4.94,79.5,19.4149_-155.2666_20220311
20220312,19.4149,-155.2666,0.06,4.96,73.4,19.4149_-155.2666_20220312
20220313,19.4149,-155.2666,0.03,4.25,73.6,19.4149_-155.2666_20220313
20220610,61.209,-159.2867,0.04,3.73,352.3,61.209_-159.2867_20220610
20220611,61.209,-159.2867,0.01,2.93,292.9,61.209_-159.2867_20220611
20220612,61.209,-159.2867,6.55,2.82,229.1,61.209_-159.2867_20220612
20220629,65.0768,-148.349,0.0,1.71,327.2,65.0768_-148.349_20220629
20220630,65.0768,-148.349,0.0,1.12,52.9,65.0768_-148.349_20220630
20220701,65.0768,-148.349,0.11,1.43,193.8,65.0768_-148.349_20220701
20220620,34.4594,-94.9463,0.0,1.57,125.3,34.4594_-94.9463_20220620
20220621,34.4594,-94.9463,0.0,1.47,143.1,34.4594_-94.9463_20220621
20220622,34.4594,-94.9463,0.01,1.06,100.9,34.4594_-94.9463_20220622
20220711,64.593,-153.5715,0.05,1.89,308.2,64.593_-153.5715_20220711
20220712,64.593,-153.5715,0.35,1.5,308.9,64.593_-153.5715_20220712
20220713,64.593,-153.5715,0.15,1.79,288.5,64.593_-153.5715_20220713
20220610,60.731,-157.2529,0.0,5.14,357.8,60.731_-157.2529_20220610
