image_name,lat,lon,date,spectrum,wildfire_event_id
19.3976_-155.304_20220126_Infrared.png,19.3976,-155.304,2022-01-26,Infrared,1.0
19.398_-155.285_20220313_Infrared.png,19.398,-155.285,2022-03-13,Infrared,2.0
19.3982_-155.2831_20220122_Infrared.png,19.3982,-155.2831,2022-01-22,Infrared,3.0
19.3988_-155.2922_20220225_Infrared.png,19.3988,-155.2922,2022-02-25,Infrared,4.0
19.3988_-155.2884_20220101_Infrared.png,19.3988,-155.2884,2022-01-01,Infrared,5.0
19.3991_-155.2918_20220522_Infrared.png,19.3991,-155.2918,2022-05-22,Infrared,6.0
19.3993_-155.2864_20220604_Infrared.png,19.3993,-155.2864,2022-06-04,Infrared,7.0
19.3994_-155.2915_20220706_Infrared.png,19.3994,-155.2915,2022-07-06,Infrared,8.0
19.3994_-155.2873_20220126_Infrared.png,19.3994,-155.2873,2022-01-26,Infrared,3.0
19.3995_-155.299_20220312_Infrared.png,19.3995,-155.299,2022-03-12,Infrared,9.0
19.3996_-155.2858_20220120_Infrared.png,19.3996,-155.2858,2022-01-20,Infrared,3.0
19.3998_-155.2916_20220704_Infrared.png,19.3998,-155.2916,2022-07-04,Infrared,8.0
19.3998_-155.2867_20220210_Infrared.png,19.3998,-155.2867,2022-02-10,Infrared,3.0
19.3999_-155.256_20220226_Infrared.png,19.3999,-155.256,2022-02-26,Infrared,10.0
19.4_-155.2913_20220127_Infrared.png,19.4,-155.2913,2022-01-27,Infrared,11.0
19.4001_-155.2829_20220620_Infrared.png,19.4001,-155.2829,2022-06-20,Infrared,12.0
19.4003_-155.2841_20220311_Infrared.png,19.4003,-155.2841,2022-03-11,Infrared,2.0
19.4006_-155.2975_20220126_Infrared.png,19.4006,-155.2975,2022-01-26,Infrared,13.0
19.4008_-155.282_20220706_Infrared.png,19.4008,-155.282,2022-07-06,Infrared,14.0
19.4009_-155.2697_20220311_Infrared.png,19.4009,-155.2697,2022-03-11,Infrared,15.0
